title,rank,date,artist,trend
Close Eyes,39,10/12/2021,DVRST,SAME_POSITION
Blue Jeans,1,1/1/2021,GANGGA,MOVE_UP
Dicked Down in Dallas,2,1/1/2021,Trey Lewis,MOVE_DOWN
Mayonaka no Door / Stay With Me,3,1/1/2021,Miki Matsubara,SAME_POSITION
Bir Sebebi Var,4,1/1/2021,İkilem,SAME_POSITION
Mmmh,5,1/1/2021,KAI,MOVE_UP
Resah Jadi Luka,6,1/1/2021,Daun Jatuh,MOVE_DOWN
Violent,7,1/1/2021,carolesdaughter,SAME_POSITION
Boku no Sensou - TV Size,8,1/1/2021,Shinsei Kamattechan,SAME_POSITION
space girl,9,1/1/2021,Frances Forever,MOVE_UP
Nega Chegando,10,1/1/2021,"O Boy da Seresta, Menor Nico",MOVE_DOWN
Given-Taken,11,1/1/2021,ENHYPEN,SAME_POSITION
Sensitive,12,1/1/2021,Serena Isioma,MOVE_UP
Peng Black Girls Remix,13,1/1/2021,"ENNY, Jorja Smith",MOVE_DOWN
Hecha Pa' Mi,14,1/1/2021,Boza,SAME_POSITION
Quicksand,15,1/1/2021,Morray,SAME_POSITION
Meia Noite,17,1/1/2021,Tarcísio do Acordeon,MOVE_DOWN
Hayloft,18,1/1/2021,Mother Mother,MOVE_UP
WITHOUT YOU,19,1/1/2021,The Kid LAROI,MOVE_DOWN
L-Gante Rkt,20,1/1/2021,"Papu DJ, L-Gante",MOVE_UP
Astronaut In The Ocean,21,1/1/2021,Masked Wolf,MOVE_UP
Amor ou o Litrão,22,1/1/2021,"Petter Ferraz, Menor Nico",SAME_POSITION
Touch You,23,1/1/2021,"遠野高志, 加島優, 矢口恭介, ジミー, 百合絢斗, 田村唯, 明美圭一, 糸目幸士郎, 鹿谷樹",MOVE_UP
Bertaut,24,1/1/2021,Nadin Amizah,MOVE_DOWN
Si Me Tomo Una Cerveza,25,1/1/2021,"Migrantes, Alico",MOVE_UP
廻廻奇譚,26,1/1/2021,Eve,SAME_POSITION
Whoopty,27,1/1/2021,CJ,MOVE_UP
Seni Dert Etmeler,28,1/1/2021,Madrigal,MOVE_UP
At My Worst,29,1/1/2021,Pink Sweat$,MOVE_DOWN
"25 É Natal, 31 É Ano Novo (feat. MC GW)",30,1/1/2021,"Barca Na Batida, Luanzinho do Recife",MOVE_DOWN
ALÔ AMBEV - funk remix,31,1/1/2021,DJ Lucas Beat,MOVE_UP
Makina,32,1/1/2021,UZI,MOVE_DOWN
Kusura Bakma,33,1/1/2021,Tuğkan,MOVE_DOWN
E-GIRLS ARE RUINING MY LIFE!,34,1/1/2021,"CORPSE, Savage Ga$p",MOVE_UP
